rank,feature,mean_abs_score
1,traffic,0.18141208606785464
2,sigma,0.17697947402795156
3,packets,0.15410247109966196
4,eq_lambda,0.007863275349687863
5,pkts_lambda_on,0.007108424541026276
6,ar_a,0.005642157291683058
7,avg_t_off,0.005437394209826986
8,exp_max_factor,0.004735055336447355
9,avg_t_on,0.004275027466549849
10,avg_pkts_lambda,0.0016661808104314938
