rank,feature,mean_abs_score
1,traffic,0.18484292259643553
2,packets,0.16265014009880058
3,sigma,0.14358527653540173
4,avg_t_on,0.0360145486681237
5,avg_t_off,0.027366223547772583
6,ar_a,0.012934376981211243
7,pkts_lambda_on,0.0126555436116026
8,exp_max_factor,0.012583491401176919
9,eq_lambda,0.008311819496714178
10,avg_pkts_lambda,0.005179864011054936
