rank,feature,mean_abs_score
1,traffic,0.15893124942852108
2,sigma,0.1534946964570554
3,packets,0.13383525233250113
4,avg_t_on,0.033550864872328626
5,avg_t_off,0.026766945294608983
6,exp_max_factor,0.013830415475016102
7,ar_a,0.01251732984984604
8,pkts_lambda_on,0.011946798589396318
9,eq_lambda,0.0063753387446748395
10,avg_pkts_lambda,0.004875483715838567
