epoch,loss,mae,val_loss,val_mae
0,52.93235397338867,0.3607252240180969,49.95660400390625,0.7512114644050598
1,37.171043395996094,0.306285560131073,33.4744873046875,0.6294798254966736
2,21.732250213623047,0.22632525861263275,24.288501739501953,0.5100980401039124
3,15.039163589477539,0.17035822570323944,19.776079177856445,0.4225146472454071
4,11.683004379272461,0.1326758712530136,16.862428665161133,0.3495975434780121
5,9.438042640686035,0.10576904565095901,14.028096199035645,0.29805946350097656
6,8.031079292297363,0.0874662697315216,12.081366539001465,0.2577246129512787
7,7.136341094970703,0.07439666986465454,13.013694763183594,0.23826707899570465
8,6.434324264526367,0.06401443481445312,10.38645076751709,0.20298555493354797
9,5.9591898918151855,0.05643311142921448,9.740158081054688,0.18074358999729156
10,5.357632160186768,0.04937188699841499,9.423639297485352,0.16495491564273834
11,5.305088996887207,0.045666325837373734,8.180705070495605,0.14624345302581787
12,4.972745418548584,0.041268303990364075,8.311413764953613,0.13865914940834045
13,4.910646438598633,0.038591813296079636,7.565763473510742,0.12480410188436508
14,4.505131244659424,0.03555777668952942,7.314901828765869,0.11736364662647247
15,4.4920172691345215,0.03394808992743492,8.385712623596191,0.12318431586027145
16,4.258268356323242,0.0315604992210865,6.953279495239258,0.10730259120464325
17,4.283491134643555,0.030399279668927193,7.222941875457764,0.10663221031427383
18,4.143985748291016,0.02920551225543022,6.74446439743042,0.09689360857009888
19,4.521738529205322,0.029857248067855835,6.496761798858643,0.09349143505096436
20,3.8972396850585938,0.02656521461904049,6.248655796051025,0.08888202905654907
21,4.203482151031494,0.02722606249153614,6.988109111785889,0.0943448394536972
22,3.986013174057007,0.025980215519666672,6.23139762878418,0.08315467089414597
23,3.8674850463867188,0.024847907945513725,6.3330183029174805,0.08401547372341156
24,3.7469868659973145,0.024270545691251755,6.18147611618042,0.08088460564613342
25,3.799581527709961,0.02362610213458538,6.286841869354248,0.07897137105464935
26,3.74767804145813,0.02358757145702839,6.053919315338135,0.07792778313159943
27,3.4953787326812744,0.022081997245550156,6.38798713684082,0.07408592849969864
28,3.7762033939361572,0.02285711094737053,6.0426554679870605,0.07726315408945084
29,3.573859214782715,0.021830866113305092,6.265295028686523,0.07530636340379715
30,3.5071322917938232,0.021349677816033363,6.770177841186523,0.0865996778011322
31,3.7178332805633545,0.021894365549087524,5.619576454162598,0.07060212641954422
32,3.5669291019439697,0.021151654422283173,6.703986644744873,0.07682325690984726
33,3.4117801189422607,0.02044375240802765,5.945149898529053,0.06995825469493866
34,3.537151336669922,0.02078896574676037,5.72095251083374,0.06959401816129684
35,3.4526915550231934,0.020094159990549088,6.396698474884033,0.07575226575136185
36,3.5049498081207275,0.020298661664128304,6.950517654418945,0.0763574093580246
37,3.3703725337982178,0.019647525623440742,6.430251121520996,0.0761735737323761
38,3.496943235397339,0.020111389458179474,5.476648330688477,0.06922433525323868
39,3.266254425048828,0.019375083968043327,5.40933895111084,0.06385407596826553
