epoch,loss,mae,val_loss,val_mae
0,53.46171188354492,0.3624933660030365,49.97217559814453,0.7667012214660645
1,36.206729888916016,0.30197522044181824,33.63774108886719,0.633059561252594
2,20.962623596191406,0.2164158970117569,24.38067054748535,0.5020763874053955
3,14.267851829528809,0.15506598353385925,18.599498748779297,0.3895072937011719
4,11.074163436889648,0.11493300646543503,15.570707321166992,0.3131592869758606
5,9.068131446838379,0.08821382373571396,13.553389549255371,0.2630934715270996
6,7.87704610824585,0.07219768315553665,12.318679809570312,0.2200465351343155
7,7.25954008102417,0.06107551231980324,12.225420951843262,0.19435548782348633
8,6.574636936187744,0.05336505174636841,10.616215705871582,0.16708292067050934
9,6.077338695526123,0.04656609520316124,10.152872085571289,0.14585332572460175
10,5.699563503265381,0.04144231230020523,9.339693069458008,0.13147448003292084
11,5.420084476470947,0.03784695267677307,9.083966255187988,0.12364605069160461
12,5.521770000457764,0.03670664131641388,9.12460994720459,0.1208001971244812
13,5.216283321380615,0.03493744507431984,7.954631328582764,0.1067257672548294
14,5.026529788970947,0.032663796097040176,8.957406044006348,0.11038242280483246
15,5.222744464874268,0.0329338014125824,8.681802749633789,0.10438843071460724
16,4.756819248199463,0.030151892453432083,7.412911415100098,0.09401492774486542
17,4.900032997131348,0.029806451871991158,7.670287132263184,0.09579141438007355
18,4.576875686645508,0.02859501540660858,7.578753471374512,0.0943371132016182
19,4.4249491691589355,0.027185538783669472,6.8517231941223145,0.08595313876867294
20,4.429166793823242,0.02750362455844879,6.807560920715332,0.08341360092163086
21,4.4251508712768555,0.026683330535888672,7.2246294021606445,0.08860694617033005
22,4.295453071594238,0.026213953271508217,6.702729225158691,0.08148043602705002
23,4.155636310577393,0.024988146498799324,7.434359073638916,0.08303573727607727
24,4.3309478759765625,0.02556268498301506,7.451443195343018,0.08971831202507019
25,4.022138595581055,0.02401125058531761,6.55456018447876,0.0783180519938469
26,4.266123294830322,0.02493574470281601,6.576349258422852,0.0758025199174881
27,4.175073146820068,0.024337559938430786,6.247556209564209,0.07426126301288605
28,4.019026279449463,0.023690197616815567,6.691007137298584,0.07825189083814621
29,3.872340202331543,0.023238612338900566,6.77899169921875,0.07870587706565857
30,3.8637328147888184,0.022866105660796165,6.486202716827393,0.07651377469301224
31,3.754455804824829,0.022245949134230614,6.235918998718262,0.07481304556131363
32,3.7430977821350098,0.021998850628733635,5.9698357582092285,0.06883122771978378
33,3.943653106689453,0.02275301329791546,5.9619526863098145,0.07220002263784409
34,3.861989974975586,0.022678915411233902,6.691063404083252,0.0733841061592102
35,3.7338922023773193,0.0217177364975214,5.990268707275391,0.06758907437324524
36,3.741931200027466,0.021777311339974403,6.6127424240112305,0.08089804649353027
37,3.6589882373809814,0.02136068604886532,6.377016544342041,0.07110533863306046
38,3.5654702186584473,0.020803911611437798,5.866586208343506,0.06716474145650864
39,3.5612664222717285,0.020714497193694115,6.547349452972412,0.07451040297746658
