epoch,loss,mae,val_loss,val_mae
0,53.1035270690918,0.3614014983177185,49.9475212097168,0.763844907283783
1,38.6788215637207,0.3124762773513794,36.19393539428711,0.6629437208175659
2,22.447343826293945,0.22782494127750397,25.609838485717773,0.5268744230270386
3,15.202398300170898,0.16641999781131744,19.332717895507812,0.4134826362133026
4,11.613250732421875,0.12741325795650482,16.256088256835938,0.3472437560558319
5,9.73220157623291,0.101531982421875,13.941217422485352,0.2915254831314087
6,8.284826278686523,0.08354604244232178,12.1959228515625,0.24951177835464478
7,7.410813808441162,0.07054543495178223,11.369765281677246,0.21757978200912476
8,7.00981330871582,0.061874181032180786,11.11777114868164,0.19298967719078064
9,6.284951210021973,0.05356112867593765,10.358599662780762,0.1762688308954239
10,5.829157829284668,0.04786721616983414,9.892168998718262,0.15632273256778717
11,5.584691047668457,0.04322672262787819,9.126778602600098,0.14572234451770782
12,5.234828948974609,0.039447762072086334,9.09919261932373,0.12994246184825897
13,5.28210973739624,0.03766008839011192,8.303409576416016,0.1202671155333519
14,5.085768222808838,0.0352979339659214,7.477078914642334,0.11221905052661896
15,4.741153717041016,0.03262011706829071,7.778138637542725,0.10929322987794876
16,4.575885772705078,0.030774161219596863,7.911841869354248,0.10804548859596252
17,4.657009124755859,0.030335046350955963,7.169839859008789,0.09748943150043488
18,4.751426696777344,0.03003857098519802,6.639740467071533,0.09191271662712097
19,4.3424248695373535,0.027804285287857056,6.6783623695373535,0.08886300772428513
20,4.374671936035156,0.027443740516901016,7.288473606109619,0.09092637151479721
21,4.493443965911865,0.027478879317641258,6.714774131774902,0.08556491881608963
22,3.9953994750976562,0.025289112702012062,6.3216423988342285,0.0807969942688942
23,4.010430812835693,0.024590427055954933,6.221296310424805,0.0788949653506279
24,4.155486106872559,0.025096826255321503,6.190774440765381,0.07980542629957199
25,4.080284118652344,0.02419949509203434,5.9910783767700195,0.07705355435609818
26,3.7666163444519043,0.0226195827126503,6.472714424133301,0.07846525311470032
27,3.86960506439209,0.023024925962090492,6.112666130065918,0.07714217901229858
28,3.7799367904663086,0.022556960582733154,5.713466644287109,0.07148347049951553
29,3.7348577976226807,0.02200419083237648,6.303474426269531,0.07250423729419708
30,3.842503070831299,0.02235913649201393,6.386898994445801,0.07663140445947647
31,3.897021770477295,0.022616300731897354,5.832103729248047,0.07171809673309326
32,3.851055145263672,0.022258533164858818,7.105184555053711,0.08524823933839798
33,3.7548680305480957,0.02163960225880146,5.65106201171875,0.06736747920513153
34,3.6849288940429688,0.021222485229372978,5.734426021575928,0.06952322274446487
35,3.644343376159668,0.020965326577425003,6.02519416809082,0.06880534440279007
36,3.562596082687378,0.02051059529185295,5.5425705909729,0.06489858031272888
37,3.4926247596740723,0.020286573097109795,6.212186813354492,0.07072801887989044
38,3.551492214202881,0.020220337435603142,5.776298999786377,0.07046055793762207
39,3.5491929054260254,0.020361628383398056,6.328625202178955,0.0738387480378151
